ce88e3e0-b429-43c9-8aed-a11b846bdbfc "1044.74,901.42,847.93,835.46,883.69,1095.55,1406.29,1528.54,1523.14,1482.14,1479.58,1441.85,1456.65,1475.61,1455.95,1462.97,1474.3,1497.85,1521.95,1651.8,1796.04,1860.5,1654.35,1306.41,1038.63,895.3,841.81,829.34,877.57,1089.44,1400.17,1522.42,1517.03,1476.02,1473.46,1435.74,1450.54,1469.5,1449.83,1456.85,1468.18,1491.74,1515.83,1645.68,1789.92,1854.38,1648.23,1300.3,1032.51,889.18,835.69,823.23,871.45,1083.32,1394.05,1516.31,1510.91,1469.9,1467.34,1429.62,1444.42,1463.38,1443.71,1450.73,1462.06,1485.62,1509.72,1639.57,1783.81,1848.26,1642.12,1294.18"
3bd4cf70-f1a9-40f1-9ac1-66c7af0bfd3a "590.21,588.71,585.25,586.32,583.77,584.27,586.84,591.19,600.49,606.81,612.27,611.9,609.65,610.85,613.03,614.07,614.79,627.83,604.76,601.84,599.41,596.64,593.15,591.32,589.44,587.94,584.48,585.56,583.0,583.51,586.07,590.42,599.72,606.04,611.5,611.13,608.88,610.08,612.26,613.31,614.02,627.06,603.99,601.07,598.64,595.87,592.38,590.55,588.68,587.17,583.72,584.79,582.24,582.74,585.3,589.65,598.95,605.27,610.74,610.36,608.11,609.31,611.5,612.54,613.25,626.29,603.23,600.3,597.87,595.11,591.62,589.79"
3fb200fb-4a4b-48ff-8bc7-3efccaf8a545 "117.4,69.43,7.31,8.42,0.0,0.0,0.0,0.0,28.16,173.76,382.14,505.83,853.45,793.36,490.24,633.28,1192.42,583.0,380.79,288.58,394.47,300.82,186.9,137.4,80.22,34.85,0.0,0.0,0.0,0.0,0.0,0.0,12.58,131.3,301.11,474.58,685.29,703.64,420.48,575.46,1030.83,628.99,334.07,225.04,318.19,326.83,184.74,135.48,71.42,25.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.49,300.44,464.69,700.76,704.58,417.72,570.49,1045.09,604.79,327.05,221.13,316.64,306.33,169.46,120.15"
d2225740-64ec-41d8-9efe-dda467480a10 "817.81,743.25,704.46,677.09,674.22,689.76,790.38,843.89,907.46,1086.46,1273.83,1323.74,1264.41,1252.72,1318.91,1355.93,1417.59,1452.25,1382.49,1308.52,1229.51,971.31,875.81,799.38,757.78,703.48,677.43,658.04,660.2,678.88,781.49,836.24,900.59,1080.08,1267.76,1317.87,1258.66,1247.04,1313.28,1350.33,1412.01,1446.68,1376.92,1302.96,1223.95,965.76,870.26,793.83,752.23,697.93,671.88,652.49,654.65,673.33,775.93,830.69,895.04,1074.53,1262.21,1312.31,1253.11,1241.49,1307.73,1344.78,1406.46,1441.13,1371.37,1297.41,1218.4,960.21,864.7,788.28"
27b8a6c7-35a1-45eb-b267-179705991d53 "6774.49,5152.79,3950.07,3509.59,3206.25,3399.86,4578.09,6828.07,8632.87,9122.51,9491.73,10111.17,10518.93,9980.22,8445.04,7939.98,7834.28,8510.55,8128.79,7765.59,7539.63,7809.93,7984.74,7623.89,6611.07,5067.39,3936.12,3552.06,3265.58,3470.31,4691.91,7000.6,8784.1,9229.95,9631.56,10231.63,10638.56,9800.25,8457.7,8003.95,7895.35,8639.34,8220.81,7704.87,7551.42,7803.42,7910.17,7605.42,6626.27,5096.98,3978.88,3605.22,3321.85,3528.64,4758.22,7077.75,8857.32,9295.1,9702.67,10299.18,10705.95,9812.4,8505.37,8061.07,7951.95,8708.42,8283.11,7739.01,7598.92,7847.56,7941.75,7647.35"
e7d6a5d2-7551-4d7a-ae7e-4d65b31501bf "174.78,125.82,109.22,103.96,103.2,124.51,174.12,215.59,205.08,186.63,173.91,164.79,162.52,155.34,150.41,146.43,149.4,147.43,145.11,148.87,153.54,162.22,162.18,151.9,173.76,124.67,108.0,102.71,101.94,123.24,172.85,214.31,203.81,185.36,172.63,163.52,161.24,154.07,149.14,145.16,148.13,146.15,143.84,147.6,152.27,160.94,160.9,150.63,172.48,123.39,106.73,101.44,100.66,121.97,171.58,213.04,202.54,184.09,171.36,162.25,159.97,152.79,147.86,143.89,146.86,144.88,142.56,146.32,150.99,159.67,159.63,149.35"
39e40b36-b885-471b-9a03-1c730ba47725 "33.77,24.64,22.07,22.46,19.72,21.25,21.53,22.47,634.88,213.04,196.68,196.21,195.0,194.54,196.33,197.38,198.37,201.57,201.54,216.94,187.34,181.79,28.3,26.07,24.82,21.0,20.39,22.06,19.99,20.87,21.82,22.45,597.36,208.87,195.58,197.83,188.98,188.5,188.73,189.05,190.06,192.23,190.31,198.25,185.84,182.56,27.07,23.85,21.1,14.54,12.91,13.92,11.51,12.72,13.33,14.12,608.38,202.68,187.81,188.65,183.75,183.28,184.31,185.01,186.01,188.71,187.77,199.56,178.28,173.82,19.36,16.66"
62c714cb-cd27-4f1d-996b-fa0a241f630b "402.18,327.8,290.5,268.64,263.69,310.58,522.82,966.98,1117.58,1155.05,1175.8,1212.66,1179.28,1205.79,1299.1,1244.52,1299.5,1419.1,1383.43,1210.32,1060.01,893.08,690.15,522.07,421.37,343.38,304.94,282.71,277.64,324.5,536.73,980.88,1131.48,1168.95,1189.7,1226.57,1193.18,1219.69,1313.0,1258.42,1313.4,1433.01,1397.34,1224.23,1073.91,906.98,704.05,535.97,435.27,357.28,318.84,296.61,291.55,338.4,550.63,994.78,1145.38,1182.86,1203.6,1240.47,1207.08,1233.59,1326.9,1272.32,1327.31,1446.91,1411.24,1238.13,1087.81,920.88,717.95,549.87"
edf614b8-4de1-479c-ae9a-46acb9dc09be "513.14,482.93,458.99,449.57,445.66,448.69,537.6,569.5,629.41,809.97,1056.48,1231.7,1336.2,1273.56,1217.09,1180.06,1222.54,1316.96,1406.25,1369.18,1260.04,1064.18,825.76,710.12,524.71,492.79,468.78,460.85,458.12,461.29,550.29,580.71,639.93,823.57,1071.79,1232.42,1320.29,1268.0,1226.28,1194.84,1230.8,1317.37,1396.53,1363.89,1266.34,1075.08,835.85,720.24,533.78,501.01,476.97,469.78,467.64,470.87,559.92,589.61,648.48,833.64,1082.72,1236.1,1315.71,1268.57,1234.17,1205.51,1238.23,1320.9,1395.03,1364.58,1272.79,1083.82,844.18,728.6"
86fc9582-eae6-440b-a7b1-a26ac498e0a4 "0.0,59550.16,356956.73,355720.6,134220.02,18.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57893.32,347025.25,345823.52,130485.67,18.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56282.58,337370.1,336201.8,126855.22,17.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0"
97b15809-7d09-4908-8c0b-e5b3752252d8 "234.03,289.58,345.49,390.95,398.02,410.37,397.13,410.32,507.09,847.15,1526.11,1946.88,2243.26,2678.49,2825.99,2807.75,2704.46,2542.48,2291.43,2250.45,1969.86,1141.48,470.96,320.36,312.57,345.9,379.14,407.39,405.17,408.95,395.62,411.08,515.87,861.61,1545.75,1967.84,2279.61,2737.98,2887.85,2855.79,2756.48,2581.14,2312.25,2257.7,1959.65,1149.61,504.8,357.25,358.16,397.99,437.71,470.62,470.53,476.31,462.38,476.67,578.63,922.46,1605.01,2026.87,2333.98,2785.26,2934.7,2907.38,2807.06,2636.2,2373.16,2323.02,2030.56,1214.6,561.47,412.82"
67a44915-f4f1-4ed6-ad22-99b452d48d73 "399.05,395.56,377.22,365.51,344.77,313.17,288.52,281.46,284.67,307.39,316.08,309.22,304.13,310.18,318.13,322.48,323.41,330.0,337.06,353.62,377.71,391.85,397.79,399.73,402.66,397.69,381.56,369.08,349.47,317.46,293.39,286.13,289.64,312.25,321.09,314.18,309.16,315.19,323.17,327.5,328.45,335.04,342.11,358.66,382.76,396.9,402.85,404.78,407.72,402.74,386.61,374.13,354.52,322.52,298.45,291.18,294.69,317.3,326.15,319.23,314.21,320.24,328.22,332.56,333.51,340.09,347.16,363.72,387.82,401.95,407.9,409.83"
